"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
609,NA,NA,15389.532,15392.032,15882.632,15883.232,NA,NA,NA,NA,NA,NA
610,NA,NA,15394.765,15394.832,15886.398,15887.098,NA,NA,NA,NA,NA,NA
611,NA,NA,15397.332,15402.865,15887.265,15889.198,NA,NA,NA,NA,NA,NA
612,NA,NA,15402.932,15407.065,15889.898,15890.065,NA,NA,NA,NA,NA,NA
613,NA,NA,15408.198,15411.098,15890.098,15890.132,NA,NA,NA,NA,NA,NA
614,NA,NA,15415.032,15419.032,15893.798,15897.898,NA,NA,NA,NA,NA,NA
615,NA,NA,15422.165,15439.898,15898.532,15901.865,NA,NA,NA,NA,NA,NA
616,NA,NA,15441.265,15441.332,15901.898,15901.932,NA,NA,NA,NA,NA,NA
617,NA,NA,15441.398,15442.565,15902.532,15902.698,NA,NA,NA,NA,NA,NA
618,NA,NA,15479.898,15483.765,15902.732,15904.365,NA,NA,NA,NA,NA,NA
619,NA,NA,15497.365,15550.132,15904.432,15904.565,NA,NA,NA,NA,NA,NA
620,NA,NA,15550.798,15550.865,15916.432,15917.832,NA,NA,NA,NA,NA,NA
621,NA,NA,15551.032,15552.832,15919.298,15919.432,NA,NA,NA,NA,NA,NA
622,NA,NA,15554.632,15554.865,15937.365,15939.332,NA,NA,NA,NA,NA,NA
623,NA,NA,15554.932,15555.498,21236.298,21237.365,NA,NA,NA,NA,NA,NA
624,NA,NA,15555.632,15555.798,21244.498,21253.198,NA,NA,NA,NA,NA,NA
625,NA,NA,15555.832,15555.965,21253.465,21254.865,NA,NA,NA,NA,NA,NA
626,NA,NA,15560.765,15562.165,21256.398,21257.665,NA,NA,NA,NA,NA,NA
627,NA,NA,15563.965,15566.398,21257.865,21257.931,NA,NA,NA,NA,NA,NA
628,NA,NA,15566.432,15590.065,21258.431,21258.798,NA,NA,NA,NA,NA,NA
629,NA,NA,15744.498,15789.132,21261.298,21261.565,NA,NA,NA,NA,NA,NA
630,NA,NA,15789.232,15791.132,21263.065,21264.098,NA,NA,NA,NA,NA,NA
631,NA,NA,15792.198,15792.732,21264.431,21274.798,NA,NA,NA,NA,NA,NA
632,NA,NA,15794.132,15795.265,21274.998,21275.131,NA,NA,NA,NA,NA,NA
633,NA,NA,15797.232,15797.265,21275.198,21276.131,NA,NA,NA,NA,NA,NA
634,NA,NA,15798.965,15798.998,21276.665,21276.798,NA,NA,NA,NA,NA,NA
635,NA,NA,15799.832,15800.465,21276.998,21279.565,NA,NA,NA,NA,NA,NA
636,NA,NA,15800.498,15806.632,21280.931,21281.065,NA,NA,NA,NA,NA,NA
