"X1","Left_start","Left_stop","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Huddle_Center_start","Huddle_Center_stop"
154,676.4,677.134,12297.7,12298.333,3449.333,3449.5,4226.333,4226.367,775.867,776.3,NA,NA,NA,NA
155,677.467,678.2,12356.366,12357.1,3449.8,3451.3,4226.6,4227.933,776.6,776.734,NA,NA,NA,NA
156,683.734,685.4,12617.7,12618.233,3455.133,3456,4228.4,4228.833,777,778.634,NA,NA,NA,NA
157,712.2,725.6,12620.5,12620.766,3456.367,3507.533,4339.867,4339.933,779.034,790.334,NA,NA,NA,NA
158,725.667,725.767,12623.366,12662.533,3507.567,3508.033,4450,4450.4,791.267,792.734,NA,NA,NA,NA
159,725.967,726.267,12682.833,12683.933,3508.467,3508.6,4661.4,4663.067,793.9,794,NA,NA,NA,NA
160,726.434,728.567,12751.5,12752,3509.967,3510.633,4778.2,4781,794.434,794.9,NA,NA,NA,NA
161,728.667,735.167,12756.233,12848,3510.7,3510.8,4781.367,4781.6,794.967,800.967,NA,NA,NA,NA
162,735.3,742.367,12848.433,12853.066,3514.833,3518.733,4781.833,4783.867,805.334,805.634,NA,NA,NA,NA
163,749.3,756.834,12880.9,12881.466,3518.867,3518.933,4783.9,4784.133,805.734,806.7,NA,NA,NA,NA
164,772.567,773.7,13153.5,13161.666,3523.2,3529.567,4784.333,4785.633,813.367,813.534,NA,NA,NA,NA
165,773.767,775.067,13210.1,13233.4,3530.033,3530.067,4785.767,4785.833,815.134,815.2,NA,NA,NA,NA
166,775.467,775.867,13301.7,13304.2,3530.1,3542.833,4877.167,4882.367,816.7,818.4,NA,NA,NA,NA
167,776.3,776.6,13354.8,13355.533,3543.067,3565.667,4882.433,4882.7,821.534,821.867,NA,NA,NA,NA
168,776.734,777,13381.533,13385.166,3565.7,3566,5021.067,5021.7,826.2,826.234,NA,NA,NA,NA
169,778.634,779.034,13410.8,13427.266,3566.633,3568.5,5021.8,5022.633,826.634,826.667,NA,NA,NA,NA
170,790.334,791.267,13430.8,13448.733,3949.2,3953.267,5022.667,5023.433,826.734,828.5,NA,NA,NA,NA
171,792.734,793.9,13451.3,13509.766,3958.7,3959.333,5143.733,5149.633,828.567,828.9,NA,NA,NA,NA
172,794,794.434,13539.7,13540.266,3962.8,3962.9,5463.233,5467.1,829.834,831.1,NA,NA,NA,NA
173,794.9,794.967,13575.266,13575.866,3963.067,3970.333,5468.233,5468.567,835.367,835.534,NA,NA,NA,NA
174,800.967,805.334,13617.4,13625.266,3971.233,3976.233,5468.7,5469.633,920.234,921.634,NA,NA,NA,NA
175,805.634,805.734,13635.866,13646.333,3976.367,3976.833,5957.7,5957.833,925.867,927.334,NA,NA,NA,NA
176,806.7,813.367,13671.833,13675.366,3978.3,3984.567,5957.867,5957.9,928.434,928.467,NA,NA,NA,NA
177,813.534,815.134,13689.933,13692.933,3984.633,3984.7,5958.133,5958.367,929,929.367,NA,NA,NA,NA
178,815.2,816.7,13699.533,13700.1,3986.433,3986.7,5959.3,5959.433,929.4,929.467,NA,NA,NA,NA
179,818.4,821.534,13737.132,13751.399,3997.533,4092.733,5961.767,5962.033,931.534,931.734,NA,NA,NA,NA
180,821.867,826.2,13839.866,13843.466,4093.367,4094.1,5962.333,5962.433,932.367,932.467,NA,NA,NA,NA
181,826.234,826.634,14123.866,14194.232,4094.267,4094.367,5962.467,5962.5,932.834,933.634,NA,NA,NA,NA
182,826.667,826.734,14299.499,14300.066,4094.767,4094.9,5962.633,5962.967,933.834,934.034,NA,NA,NA,NA
183,828.5,828.567,14470.899,14495.499,4095.167,4095.267,5963.333,5968.4,934.1,934.267,NA,NA,NA,NA
184,828.9,829.834,14507.132,14507.832,4095.633,4177.5,5971,5971.033,934.434,936.234,NA,NA,NA,NA
185,831.1,835.367,14512.299,14515.432,4177.633,4219.633,5971.2,5971.233,936.267,936.434,NA,NA,NA,NA
186,835.534,851.767,14559.599,14560.632,4225.833,4226.333,5971.667,5971.733,936.467,944.5,NA,NA,NA,NA
187,918.9,920.234,14562.199,14562.666,4226.367,4226.6,6310.2,6310.267,944.7,947.967,NA,NA,NA,NA
