"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
212,11163.131,11163.198,3068.8,3069.333,3089.033,3091.533,9087.199,9088.832,9681.899,9688.399,NA,NA
213,11164.231,11164.365,3069.566,3069.833,3185.233,3204.266,9091.199,9101.232,9688.599,9693.465,NA,NA
214,11164.465,11164.931,3070.3,3070.466,3339.533,3356.066,9103.965,9104.032,9694.099,9706.765,NA,NA
215,11165.031,11165.731,3070.6,3072.033,3441.8,3442.033,9104.599,9104.632,9707.532,9723.299,NA,NA
216,11170.098,11181.831,3072.866,3073,3442.266,3442.466,9104.665,9105.099,9724.299,9725.032,NA,NA
217,11182.531,11182.631,3081.166,3081.733,3442.7,3442.733,9363.632,9370.999,9726.365,9726.432,NA,NA
218,11185.998,11186.265,3081.933,3082.066,3443.166,3443.3,9371.099,9372.632,9726.632,9728.032,NA,NA
219,11186.331,11186.365,3082.133,3083.166,3445.833,3445.9,9374.299,9375.932,9728.165,9731.432,NA,NA
220,11186.931,11189.865,3085.933,3089.033,3451.566,3454.066,9376.765,9376.865,9732.899,9733.032,NA,NA
221,11191.965,11194.098,3091.533,3092.466,3454.866,3455,9377.699,9377.832,9733.299,9733.365,NA,NA
222,11194.365,11195.531,3171.2,3185.233,3455.1,3456.3,9388.899,9388.999,9733.565,9734.099,NA,NA
223,11196.665,11199.231,3204.266,3210.3,3554.166,3555.233,9389.432,9389.765,9735.032,9737.632,NA,NA
224,11201.031,11202.531,3260.1,3261.766,3557.133,3557.166,9390.432,9392.399,9737.699,9739.632,NA,NA
225,11204.798,11207.965,3261.833,3262.4,3557.3,3557.933,9393.599,9393.665,9739.765,9740.232,NA,NA
226,11222.898,11223.731,3334.7,3339.533,3558.066,3558.233,9403.865,9403.965,9740.632,9742.965,NA,NA
227,11236.631,11239.798,3356.066,3356.333,3558.3,3560.4,9404.099,9404.132,9743.699,9744.099,NA,NA
228,11554.465,11554.731,3440.833,3441.8,3562.4,3563.333,9404.165,9404.599,9745.232,9748.199,NA,NA
229,11554.831,11555.065,3442.033,3442.266,3563.833,3567.933,9404.732,9404.765,9761.532,9761.965,NA,NA
230,11555.265,11557.798,3442.466,3442.7,3568.166,3569.866,9404.832,9404.865,9762.565,9762.699,NA,NA
231,11571.565,11574.865,3442.733,3443.166,3569.933,3570.866,9404.932,9405.932,9764.132,9764.399,NA,NA
232,11575.598,11575.631,3443.3,3445.833,3571,3574,9421.599,9421.699,9765.299,9765.432,NA,NA
233,11575.731,11575.965,3445.9,3447.966,3576.233,3591.666,9421.799,9421.832,9765.465,9765.699,NA,NA
234,11687.698,11688.698,3451.033,3451.566,4152.766,4175.133,9492.865,9493.532,9767.532,9768.265,NA,NA
235,11769.498,11777.165,3454.066,3454.866,4412.4,4417.333,9493.565,9494.165,9769.532,9769.865,NA,NA
236,11777.365,11778.331,3550.9,3554.166,4440.066,4440.9,9495.065,9498.465,9770.499,9772.032,NA,NA
237,11781.531,11789.698,3555.233,3557.133,4462.033,4462.9,9498.865,9503.599,9772.232,9772.365,NA,NA
238,11841.565,11845.765,3557.166,3557.3,6630.633,6630.699,9503.699,9507.765,9773.465,9779.299,NA,NA
