"X1","Contact_Right_start","Contact_Right_stop","Right_start","Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop","Contact_Unknown_start","Contact_Unknown_stop"
165,1699.433,1702.266,1518.2,1522,2860.233,2867.3,4358.466,4358.566,5101.566,5104.666,10211.665,10212.199,NA,NA
166,1732.833,1732.966,1531.9,1531.933,2870.933,2902.766,4358.733,4359.166,5104.7,5105.233,10336.099,10337.432,NA,NA
167,1850.033,1855.7,1532,1532.033,2911.666,2924.466,4502.133,4503.666,5106.333,5130.333,10339.132,10341.399,NA,NA
168,1945.3,1948.3,1665.166,1665.3,2928.133,3051.266,4505.1,4505.166,5131.3,5134.733,10661.165,10669.532,NA,NA
169,1956.8,1957.733,1678.266,1678.333,3051.433,3053.033,4540.866,4540.933,5135.166,5139.2,11065.098,11067.331,NA,NA
170,1960,1960.133,1731.933,1732.833,3057.6,3094.533,4568.9,4571.6,5141.5,5148.066,11157.265,11161.598,NA,NA
171,1962.633,1963.233,1732.966,1735.333,3106.9,3107.1,4571.866,4582.366,5149.4,5149.433,11384.565,11396.731,NA,NA
172,1969.366,1976.733,1798.066,1799.366,3107.6,3113.966,4597.3,4597.433,5149.6,5160.033,11408.465,11410.998,NA,NA
173,1992.333,1992.533,1942.266,1945.3,3128,3132.166,4597.566,4606.1,5160.266,5160.466,11413.131,11421.498,NA,NA
174,1994.1,2008.133,1948.3,1948.9,3136.1,3144.233,4606.833,4611.466,5160.566,5161.133,11854.631,11858.631,NA,NA
175,2019.933,2026.033,1963.233,1967.433,3144.3,3144.8,4611.6,4611.633,5162.2,5162.3,11870.898,11875.198,NA,NA
176,2037.133,2038.733,1967.466,1969.366,3195.4,3206.333,4612.933,4613,5162.566,5163.033,12040.598,12053.198,NA,NA
177,2084.566,2086.133,1976.733,1976.766,3207.466,3213.5,4617.066,4617.133,5163.3,5163.433,12106.465,12108.665,NA,NA
178,2086.3,2086.466,2008.133,2008.6,3215.466,3215.833,4623.866,4623.9,5164.5,5167.1,12110.231,12111.131,NA,NA
179,2086.533,2086.733,2027.3,2027.4,3216.1,3218.3,4627.6,4627.633,5167.133,5168.933,12135.331,12139.898,NA,NA
180,2087.366,2088.1,2050.9,2068.5,3218.833,3219,4627.666,4627.833,5169.766,5169.833,12150.831,12154.131,NA,NA
