"X1","Center_start","Center_stop","Right_start","Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
197,NA,NA,14031.432,14045.665,4222.833,4256.2,4458.067,4459.067,NA,NA,NA,NA,NA,NA
198,NA,NA,14049.032,14049.332,4420.867,4423.467,4544.333,4544.433,NA,NA,NA,NA,NA,NA
199,NA,NA,20284.031,20288.265,4423.533,4425.2,4546.433,4546.5,NA,NA,NA,NA,NA,NA
200,NA,NA,20288.331,20288.565,4425.533,4425.833,4546.833,4547.9,NA,NA,NA,NA,NA,NA
201,NA,NA,20288.865,20291.598,4426.367,4426.467,4549.733,4554.633,NA,NA,NA,NA,NA,NA
202,NA,NA,20291.731,20291.798,4426.633,4428,4554.733,4556.467,NA,NA,NA,NA,NA,NA
203,NA,NA,20291.931,20291.998,4428.167,4428.567,4556.667,4560.133,NA,NA,NA,NA,NA,NA
204,NA,NA,20292.165,20340.131,4428.767,4428.867,4715.533,4715.867,NA,NA,NA,NA,NA,NA
205,NA,NA,20340.498,20348.565,4429.667,4429.867,4716.867,4717.2,NA,NA,NA,NA,NA,NA
206,NA,NA,20657.331,20726.098,4435.067,4435.333,4722.2,4753.033,NA,NA,NA,NA,NA,NA
207,NA,NA,20726.298,20747.865,4436.533,4436.867,5609.733,5610.133,NA,NA,NA,NA,NA,NA
208,NA,NA,20747.998,20748.031,4437.067,4447.733,5980.767,5982,NA,NA,NA,NA,NA,NA
209,NA,NA,20912.131,20919.531,4454.233,4454.733,6000.467,6000.633,NA,NA,NA,NA,NA,NA
210,NA,NA,20919.565,20920.131,4454.8,4457.333,6005.4,6006.2,NA,NA,NA,NA,NA,NA
211,NA,NA,20920.198,20921.131,4457.867,4458.067,6008.267,6009.8,NA,NA,NA,NA,NA,NA
212,NA,NA,20921.365,20921.598,4459.067,4481.367,6009.867,6020.133,NA,NA,NA,NA,NA,NA
213,NA,NA,20921.765,20924.831,4541.8,4544.333,6022.733,6025.4,NA,NA,NA,NA,NA,NA
214,NA,NA,20924.898,20925.031,4544.433,4546.433,6026.667,6027.6,NA,NA,NA,NA,NA,NA
215,NA,NA,20925.698,20983.065,4546.5,4546.833,6037.2,6040.6,NA,NA,NA,NA,NA,NA
216,NA,NA,20983.265,20983.731,4547.9,4549.733,6046.6,6046.933,NA,NA,NA,NA,NA,NA
217,NA,NA,20984.065,20984.398,4554.633,4554.733,6048,6048.733,NA,NA,NA,NA,NA,NA
218,NA,NA,20986.831,20990.665,4556.467,4556.667,6048.8,6051,NA,NA,NA,NA,NA,NA
219,NA,NA,21600,21600,4560.133,4715.533,6051.933,6062,NA,NA,NA,NA,NA,NA
220,NA,NA,NA,NA,4715.867,4716.867,6062.4,6064.267,NA,NA,NA,NA,NA,NA
221,NA,NA,NA,NA,4717.2,4722.2,6064.733,6067.667,NA,NA,NA,NA,NA,NA
222,NA,NA,NA,NA,4753.033,5609.733,6067.733,6067.8,NA,NA,NA,NA,NA,NA
223,NA,NA,NA,NA,5610.133,5980.767,6069.8,6069.867,NA,NA,NA,NA,NA,NA
224,NA,NA,NA,NA,5982,6000.467,6069.933,6070.133,NA,NA,NA,NA,NA,NA
225,NA,NA,NA,NA,6000.633,6005.4,6073.033,6073.133,NA,NA,NA,NA,NA,NA
226,NA,NA,NA,NA,6006.2,6008.267,6075.1,6077.267,NA,NA,NA,NA,NA,NA
227,NA,NA,NA,NA,6009.8,6009.867,6101.5,6102.833,NA,NA,NA,NA,NA,NA
228,NA,NA,NA,NA,6020.133,6022.733,6131.2,6131.233,NA,NA,NA,NA,NA,NA
229,NA,NA,NA,NA,6025.4,6026.667,6612.833,6612.9,NA,NA,NA,NA,NA,NA
