"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Contact_Center_start","Contact_Center_stop","Unknown_start","Unknown_stop"
200,NA,NA,10848.332,10857.232,11599.732,11601.232,3729.534,3729.734,3769.134,3776.334,NA,NA,NA,NA
201,NA,NA,10985.932,11020.199,11601.432,11602.966,3731.934,3735.4,3949.967,3952.1,NA,NA,NA,NA
202,NA,NA,11020.366,11020.932,11603.366,11603.599,3743.434,3743.467,3952.134,3952.2,NA,NA,NA,NA
203,NA,NA,11021.166,11021.399,11603.966,11604.099,3745.367,3747.234,3952.734,3952.767,NA,NA,NA,NA
204,NA,NA,11021.499,11021.566,11635.166,11635.366,3747.567,3750.767,3982.967,4047.134,NA,NA,NA,NA
205,NA,NA,11021.599,11021.799,11635.766,11636.566,3750.867,3751.034,4047.2,4047.434,NA,NA,NA,NA
206,NA,NA,11023.732,11026.566,11637.666,11637.932,3751.567,3752.067,4049.2,4050.1,NA,NA,NA,NA
207,NA,NA,11026.632,11027.666,11638.199,11648.199,3753.334,3753.4,4051.434,4052.034,NA,NA,NA,NA
208,NA,NA,11027.799,11092.766,11648.399,11648.532,3753.467,3753.534,4052.234,4052.367,NA,NA,NA,NA
209,NA,NA,11408.566,11408.599,11648.666,11655.866,3759.734,3760.067,4054.434,4057.6,NA,NA,NA,NA
210,NA,NA,11408.932,11408.999,11655.932,11659.899,3760.534,3762.667,4058.867,4061.7,NA,NA,NA,NA
211,NA,NA,11409.199,11409.266,11741.032,11741.099,3762.934,3769.134,4061.8,4062.267,NA,NA,NA,NA
212,NA,NA,11409.332,11409.399,11741.166,11741.232,3776.334,3830.434,4067,4067.2,NA,NA,NA,NA
213,NA,NA,11409.666,11410.399,11741.599,11742.132,3949.034,3949.967,4200.2,4209.3,NA,NA,NA,NA
214,NA,NA,11411.032,11411.199,11742.466,11801.699,3952.1,3952.134,4209.367,4214.667,NA,NA,NA,NA
215,NA,NA,11411.232,11411.266,11807.332,11827.166,3952.2,3952.734,4214.7,4214.967,NA,NA,NA,NA
216,NA,NA,11412.266,11412.399,11866.932,11892.399,3952.767,3982.967,4215.067,4215.4,NA,NA,NA,NA
217,NA,NA,11413.032,11418.499,11892.799,11892.832,4047.134,4047.2,4219.6,4221,NA,NA,NA,NA
218,NA,NA,11581.466,11581.866,11892.899,11893.166,4047.434,4049.2,4221.134,4221.4,NA,NA,NA,NA
219,NA,NA,11585.632,11585.932,12167.666,12213.099,4050.1,4051.434,4221.667,4221.8,NA,NA,NA,NA
220,NA,NA,11597.332,11597.399,12213.366,12213.699,4052.034,4052.234,4222.134,4222.867,NA,NA,NA,NA
221,NA,NA,11598.199,11599.732,12213.999,12222.332,4052.367,4054.434,4223.067,4224.8,NA,NA,NA,NA
