"X1","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
107,996.067,996.467,1493.067,1493.134,13412.599,13440.299,2356.9,2357.3,3405.9,3406.634,NA,NA
108,997.867,1001.1,1493.5,1541.134,13602.399,13664.866,2360.367,2361.067,3408.867,3410.467,NA,NA
109,1052.234,1177.467,1638.567,1638.767,13772.132,13794.399,2408.867,2408.934,3410.634,3458.9,NA,NA
110,1228.667,1360.934,1638.8,1638.867,14207.432,14211.632,2408.967,2409,3550.334,3571.3,NA,NA
111,1468.3,1468.4,1639.034,1639.2,14222.466,14277.966,2410.867,2413,3571.3,3579.233,NA,NA
112,1468.534,1469.134,1639.267,1651.2,19518.632,19519.265,2420.834,2421.234,5335.4,5342.8,NA,NA
113,1469.3,1469.334,1651.367,1651.767,21600,21600,2426.067,2442.167,5343.433,5343.566,NA,NA
114,1469.434,1469.534,1652.5,1652.6,21600,21600,2463.667,2465.6,5352.066,5352.733,NA,NA
115,1480.267,1480.867,1652.634,1655.534,NA,NA,2466.9,2467.134,10669.232,10680.099,NA,NA
116,1488.3,1491.067,1658.134,1659.534,NA,NA,2482.867,2504.6,10680.166,10681.099,NA,NA
117,1492.534,1493.067,1662.934,1694.7,NA,NA,2508.034,2515.167,10683.632,10683.966,NA,NA
118,1493.134,1493.5,1700.2,1701.134,NA,NA,2527.5,2532.867,10689.799,10691.599,NA,NA
119,1541.134,1556.167,1701.7,1702.067,NA,NA,2532.9,2538.7,10693.032,10693.432,NA,NA
120,1634.367,1638.567,1750.9,1756.767,NA,NA,2538.734,2538.767,10693.499,10711.766,NA,NA
121,1638.767,1638.8,1757.5,1762.167,NA,NA,2539.9,2543.767,10711.799,10711.832,NA,NA
122,1638.867,1639.034,1762.434,1762.667,NA,NA,2544.834,2544.934,10711.866,10720.266,NA,NA
123,1639.2,1639.267,1762.967,1763.767,NA,NA,2554,2575.334,10751.232,10753.966,NA,NA
124,1651.2,1651.367,1763.867,1764.1,NA,NA,2616.1,2616.9,10754.032,10754.166,NA,NA
125,1651.767,1652.5,2048.534,2053.834,NA,NA,2616.934,2617.1,10754.499,10754.632,NA,NA
126,1652.6,1652.634,2060.934,2061.367,NA,NA,2617.3,2617.734,10755.466,10756.466,NA,NA
127,1655.534,1658.134,2061.934,2100.567,NA,NA,2617.934,2618.334,10756.532,10756.566,NA,NA
128,1659.534,1662.934,2103.567,2195,NA,NA,2618.7,2640.234,10824.299,10824.632,NA,NA
129,1694.7,1700.2,2195.167,2195.767,NA,NA,2806.4,2806.634,10830.732,10830.932,NA,NA
130,1701.134,1701.7,2196,2196.367,NA,NA,2814.167,2814.267,10850.066,10850.666,NA,NA
131,1745.5,1750.9,2196.467,2197.6,NA,NA,2827.4,2844.8,10850.799,10851.399,NA,NA
132,1756.767,1757.5,2367.9,2375.567,NA,NA,2925.767,2946.434,10852.166,10852.232,NA,NA
133,1762.167,1762.434,2385.234,2387.5,NA,NA,3002,3002.4,10852.332,10876.899,NA,NA
134,1762.667,1762.967,2578.134,2578.2,NA,NA,3003.1,3003.2,10877.132,10877.332,NA,NA
135,1763.767,1763.867,2578.234,2587.9,NA,NA,3012.134,3012.5,10878.132,10878.266,NA,NA
136,1764.1,1767.5,2587.967,2600.7,NA,NA,3019.567,3020.834,10878.399,10878.832,NA,NA
137,2042.4,2048.534,2601.734,2603.334,NA,NA,3024.234,3035.534,10878.932,10878.966,NA,NA
138,2060.567,2060.934,2642.834,2661.467,NA,NA,3405.767,3405.9,10879.066,10879.099,NA,NA
