"X1","Center_start","Center_stop","Left_start","Left_stop","Right_start","Right_stop","Contact_Center_start","Contact_Center_stop","Contact_Left_start","Contact_Left_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
196,10596.432,10597.399,1655.933,1656,4103.366,4104.599,NA,NA,1863.9,1864,5725.133,5725.766,NA,NA
197,10599.699,10600.566,1656.367,1656.467,4106.599,4108.066,NA,NA,1864.1,1872.867,5726.333,5727.866,NA,NA
198,10601.799,10609.099,1656.9,1657.1,4108.266,4108.899,NA,NA,1875.433,1875.467,5728.199,5730.399,NA,NA
199,10616.032,10616.066,1658.867,1659.167,4114.933,4130.933,NA,NA,1875.533,1875.6,5731.799,5734.166,NA,NA
200,10626.899,10628.532,1660.8,1661.6,4131.199,4137.166,NA,NA,1875.867,1876.4,5812.999,5813.066,NA,NA
201,10630.899,10631.299,1665.533,1668.233,4140.666,4140.999,NA,NA,1876.9,1880.033,5845.633,5845.899,NA,NA
202,10632.366,10632.699,1668.433,1671.367,4142.633,4143.066,NA,NA,1880.067,1880.167,5845.999,5846.199,NA,NA
203,10638.966,10639.032,1687.5,1699.8,4146.466,4239.466,NA,NA,1880.4,1890.833,5924.433,5925.666,NA,NA
204,10639.232,10642.232,1858.967,1860.067,4239.799,4243.099,NA,NA,1920.967,1921.033,5925.699,5925.733,NA,NA
205,10644.932,10648.632,1863.033,1863.133,4243.999,4247.633,NA,NA,1921.3,1921.967,5926.566,5926.666,NA,NA
206,10649.266,10651.499,1863.333,1863.533,4247.899,4251.966,NA,NA,1922.667,1922.867,5926.999,5927.033,NA,NA
207,10653.266,10666.966,1863.633,1863.667,4266.066,4273.266,NA,NA,1924.8,1927.2,5927.233,5927.333,NA,NA
208,10891.232,10891.698,1863.833,1863.9,4273.799,4276.466,NA,NA,1927.833,1927.867,5951.266,5951.433,NA,NA
209,10895.865,10899.298,1864,1864.1,4279.966,4294.999,NA,NA,1928.467,1929.433,5994.366,6002.733,NA,NA
210,10902.665,10903.265,1872.867,1875.433,4360.266,4360.699,NA,NA,1930.233,1931.133,6002.999,6003.099,NA,NA
211,10920.498,10925.232,1875.467,1875.533,4364.799,4393.333,NA,NA,1994.433,1995.567,8646.999,8647.366,NA,NA
212,11032.332,11032.898,1875.6,1875.867,4393.899,4398.499,NA,NA,2002.567,2016.433,8647.399,8647.432,NA,NA
213,11086.165,11086.932,1876.4,1876.9,4441.699,4442.166,NA,NA,2016.7,2018,8660.899,8660.966,NA,NA
214,11091.098,11091.932,1880.033,1880.067,4442.566,4477.066,NA,NA,2151.433,2160.833,8660.999,8661.032,NA,NA
215,11109.565,11114.465,1880.167,1880.4,4484.766,4491.499,NA,NA,2205.3,2208.433,8661.266,8671.599,NA,NA
216,11117.065,11118.565,1890.833,1920.967,4501.866,4501.933,NA,NA,2259.933,2260.533,8671.932,8672.399,NA,NA
217,11148.965,11186.332,1921.033,1921.3,4833.499,4833.799,NA,NA,2260.767,2261.033,8676.899,8679.432,NA,NA
218,11188.032,11193.598,1921.967,1922.667,4833.866,4833.899,NA,NA,2261.4,2263.967,8690.132,8690.399,NA,NA
219,11200.232,11208.998,1922.867,1924.8,4834.466,4835.066,NA,NA,2264.033,2265.467,8776.699,8777.032,NA,NA
220,11308.265,11319.032,1927.2,1927.833,4836.566,4837.999,NA,NA,2500.5,2500.9,8779.532,8783.199,NA,NA
221,11672.098,11676.598,1927.867,1928.467,4838.166,4838.233,NA,NA,2501,2501.5,8783.532,8783.732,NA,NA
222,11684.965,11685.432,1929.433,1930.233,4838.666,4847.033,NA,NA,2522.9,2523.433,8783.866,8784.132,NA,NA
