"X1","Center_start","Center_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Unknown_start","Unknown_stop"
232,17371.064,17381.331,10970.198,10970.398,12085.031,12091.465,3715.265,3715.332,9903.098,9905.465,NA,NA
233,17382.064,17382.797,10970.665,10970.998,12091.531,12094.598,3715.599,3722.599,9906.198,9906.531,NA,NA
234,17386.564,17392.931,10971.398,10972.798,12095.165,12120.531,3723.265,3726.732,9910.598,9910.631,NA,NA
235,17600.297,17601.097,10974.731,10975.598,12120.798,12124.231,3728.332,3728.399,9910.731,9912.131,NA,NA
236,17601.264,17602.397,10976.065,10979.598,12125.831,12154.565,3732.265,3732.399,9912.165,9916.298,NA,NA
237,17725.831,17727.297,10979.665,11017.531,12154.965,12158.065,3735.532,3735.732,10084.031,10086.131,NA,NA
238,19495.697,19496.397,11018.131,11037.198,12158.198,12158.798,3736.665,3741.265,10205.465,10205.698,NA,NA
239,19522.13,19525.463,11038.865,11038.931,12251.931,12252.331,3741.465,3753.765,10296.565,10296.731,NA,NA
240,19525.697,19526.097,11039.131,11039.598,12252.531,12265.098,3772.432,3806.932,10296.798,10298.565,NA,NA
241,19532.497,19592.33,11040.065,11041.398,12265.165,12266.598,3817.599,3817.865,10298.631,10300.431,NA,NA
242,19607.663,19609.13,11041.665,11042.865,12266.665,12267.665,3818.399,3819.532,10300.531,10300.631,NA,NA
243,19648.83,19655.63,11046.265,11046.531,12267.798,12267.831,3824.865,3825.065,10300.665,10300.998,NA,NA
244,19661.83,19662.963,11046.598,11046.665,12268.365,12268.431,3828.599,3828.665,10301.498,10301.565,NA,NA
245,19663.163,19663.497,11048.131,11052.198,12268.931,12269.231,3829.065,3834.799,10534.098,10534.631,NA,NA
