"X1","Center_start","Center_stop","Contact_Left_start","Contact_Left_stop","Left_start","Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop","Contact_Center_start","Contact_Center_stop"
203,18202.998,18840.598,10599.466,10599.533,4469.133,4471.5,850.167,850.3,856.633,856.833,NA,NA,NA,NA
204,18856.898,18866.998,10599.966,10600.433,4475.3,4476.7,850.567,850.8,859.533,859.6,NA,NA,NA,NA
205,19052.098,19052.165,10602.699,10602.799,4476.766,4479.466,850.833,850.867,864.3,864.533,NA,NA,NA,NA
206,19052.231,19052.298,10609.899,10609.966,5173.733,5174.933,850.967,851.133,866.867,867,NA,NA,NA,NA
207,19052.465,19065.465,10628.933,10629.099,5244.366,5245.666,851.3,852.8,867.1,867.3,NA,NA,NA,NA
208,19065.798,19066.131,10637.066,10637.999,5245.766,5246,852.833,852.867,867.467,867.567,NA,NA,NA,NA
209,19123.498,19129.398,10643.899,10648.299,5246.166,5250.066,852.933,854.067,876.733,876.8,NA,NA,NA,NA
210,19132.365,19136.665,11181.299,11181.366,5250.1,5253.633,854.167,854.3,878.633,878.7,NA,NA,NA,NA
211,19204.465,19212.531,11182.866,11182.999,5254.666,5254.766,854.4,854.433,879.967,880.233,NA,NA,NA,NA
212,19235.531,19239.398,11197.032,11197.099,5254.866,5255.266,854.567,854.667,890.967,891.367,NA,NA,NA,NA
213,19280.565,19285.798,11215.999,11216.032,5255.3,5255.533,855.467,855.833,896.9,897.833,NA,NA,NA,NA
214,19384.665,19403.665,11224.466,11224.532,5256.033,5261.333,856.167,856.633,898.233,898.367,NA,NA,NA,NA
215,19446.531,19447.365,11231.599,11231.632,5261.4,5263.866,856.833,859.533,898.967,899.3,NA,NA,NA,NA
216,19455.331,19457.965,11232.599,11232.799,5263.9,5273.866,859.6,864.3,899.533,899.633,NA,NA,NA,NA
217,19762.665,20099.798,11238.932,11241.199,5330.366,5345.666,864.533,866.867,900.6,900.833,NA,NA,NA,NA
218,20303.265,20307.298,11242.399,11243.866,5345.833,5346.933,867,867.1,902.2,902.3,NA,NA,NA,NA
219,20361.565,20379.865,11264.299,11264.832,5347.233,5358.133,867.3,867.467,903.433,903.633,NA,NA,NA,NA
220,20459.531,20521.965,11294.166,11294.199,5358.333,5358.966,867.567,876.733,905.633,905.967,NA,NA,NA,NA
221,20535.865,20657.798,11355.466,11355.632,5359.033,5364,876.8,878.633,907.733,907.9,NA,NA,NA,NA
222,20671.898,20672.098,11355.699,11355.732,5364.4,5371.5,878.7,879.967,908.2,908.267,NA,NA,NA,NA
223,20672.231,20766.031,11362.399,11363.799,5372,5374.266,880.233,890.967,955.967,956.1,NA,NA,NA,NA
224,21600,21600,11364.432,11364.699,5374.3,5395,891.367,896.9,956.2,956.567,NA,NA,NA,NA
225,21600,21600,11371.499,11372.032,5426.766,5434,897.833,898.233,956.8,957.7,NA,NA,NA,NA
